File,Length (s),Padding_Time
16B17-1_exhale-i26_26.wav,1.96,1.04
16B17-1_exhale-i27_134.wav,2.08,0.9199999999999999
16B17-1_exhale-i27_178.wav,1.91,1.09
16B17-1_exhale-i27_27.wav,2.18,0.8199999999999998
16B17-1_exhale-i28_135.wav,2.39,0.6099999999999999
16B17-1_exhale-i28_179.wav,1.66,1.34
16B17-1_exhale-i28_28.wav,2.21,0.79
16B17-1_exhale-i29_136.wav,1.52,1.48
16B17-1_exhale-i29_180.wav,1.57,1.43
16B17-1_exhale-i29_29.wav,2.42,0.5800000000000001
16B17-1_exhale-i2_109.wav,1.73,1.27
16B17-1_exhale-i2_153.wav,2.64,0.3599999999999999
16B17-1_exhale-i2_2.wav,1.38,1.62
16B17-1_exhale-i2_77.wav,0.82,2.18
16B17-1_exhale-i2_95.wav,2.73,0.27
16B17-1_exhale-i30_137.wav,1.41,1.59
16B17-1_exhale-i30_181.wav,2.97,0.029999999999999805
16B17-1_exhale-i30_30.wav,2.47,0.5299999999999998
16B17-1_exhale-i31_138.wav,1.73,1.27
16B17-1_exhale-i31_182.wav,3.24,2.76
16B17-1_exhale-i31_31.wav,1.39,1.61
16B17-1_exhale-i32_139.wav,1.67,1.33
16B17-1_exhale-i32_183.wav,0.78,2.2199999999999998
16B17-1_exhale-i32_32.wav,1.79,1.21
16B17-1_exhale-i33_140.wav,1.9,1.1
16B17-1_exhale-i33_184.wav,0.87,2.13
16B17-1_exhale-i33_33.wav,2.37,0.6299999999999999
16B17-1_exhale-i34_141.wav,0.89,2.11
16B17-1_exhale-i34_185.wav,0.98,2.02
16B17-1_exhale-i34_34.wav,2.45,0.5499999999999998
16B17-1_exhale-i35_142.wav,0.78,2.2199999999999998
